gmap_id1,address1,avg_rating1,latitude1,longitude1,name1,main_category1,description1,state1,url1,num_of_reviews1,price1,first_main_category1,region1,city1,hash_tag1
0x808e2d7e818f4f9f:0x3fbef6a7990b67a6,"Red Lobster, 2040 Aborn Road RIGHT OFF THE, Capitol Expy, San Jose, CA 95121",4.1,37.310955,-121.80772999999999,Red Lobster,Food & Beverage,Lively chain restaurant serving American seafood standards amid New England-themed decor.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808e2d7e818f4f9f:0x3fbef6a7990b67a6?authuser=-1&hl=en&gl=us,1098,2.0,Food & Beverage,California,San Jose,['Seafood restaurant' 'American restaurant' 'Angler fish restaurant']
0x80c2d6142fac4c77:0x48bab497ee2a484d,"El Sushi Loco Sushi & Mariscos La Puente, 15711 Amar Rd, La Puente, CA 91744",4.4,34.037085,-117.9428908,El Sushi Loco Sushi & Mariscos La Puente,Food & Beverage,Relaxed establishment offering a menu of Mexican-inspired Japanese sushi rolls & noodles.,Closed ⋅ Opens 11AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d6142fac4c77:0x48bab497ee2a484d?authuser=-1&hl=en&gl=us,1215,2.0,Food & Beverage,California,other,['Sushi restaurant' 'Asian fusion restaurant' 'Family restaurant']
0x80c3663f1a727849:0xdf40a8881645c9b,"Farmer Boys, 14280 Bear Valley Rd, Victorville, CA 92392",4.2,34.470822,-117.35170699999999,Farmer Boys,Food & Beverage,"Counter-serve chain for made-to-order burgers & breakfast items, many made with local ingredients.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c3663f1a727849:0xdf40a8881645c9b?authuser=-1&hl=en&gl=us,1088,2.0,Food & Beverage,California,Victorville,['Restaurant' 'American restaurant' 'Breakfast restaurant']
0x808f79d98d49d385:0x483e60ee8d31c8dd,"Best Buy, 1250 El Camino Real, San Bruno, CA 94066",4.1,37.639282699999995,-122.42033649999999,Best Buy,Retail,"Chain retailer with a large array of brand-name electronics, computers, appliances & more.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f79d98d49d385:0x483e60ee8d31c8dd?authuser=-1&hl=en&gl=us,1362,2.0,Retail,California,other,['Electronics store' 'Appliance store' 'Computer store']
0x80945d8075282991:0x8d20b774e5c1ee29,"Walmart Supercenter, 1804 E Ashlan Ave, Fresno, CA 93726",3.8,36.7925885,-119.7891058,Walmart Supercenter,Retail,,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80945d8075282991:0x8d20b774e5c1ee29?authuser=-1&hl=en&gl=us,5212,1.0,Retail,California,Fresno,['Department store' 'Clothing store' 'Craft store']
0x80deaa3bb3283451:0xc77a89508ec417dc,"Wonderland Ocean Pub, 5083 Santa Monica Ave, San Diego, CA 92107",4.5,32.748432699999995,-117.2522326,Wonderland Ocean Pub,Food & Beverage,"This relaxed bar with lots of windows features ocean views, sports on TV & a full food menu.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80deaa3bb3283451:0xc77a89508ec417dc?authuser=-1&hl=en&gl=us,1897,2.0,Food & Beverage,California,San Diego,['Bar & grill' 'Gastropub' 'New American restaurant']
0x80db7f58c2d29aa3:0xef46cac6aedd7261,"Richie's Real American Diner, 32150 Temecula Pkwy, Temecula, CA 92592",4.5,33.4827787,-117.0963165,Richie's Real American Diner,Food & Beverage,"Retro-style diner serving country breakfasts, with burgers, shakes & comfort food later in the day.",Open ⋅ Closes 8PM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db7f58c2d29aa3:0xef46cac6aedd7261?authuser=-1&hl=en&gl,1404,2.0,Food & Beverage,California,Temecula,['Restaurant' 'American restaurant']
0x80c2c77656d767f3:0x4851684214de7758,"Los Molcajetes, 695 S Hoover St, Los Angeles, CA 90005",4.3,34.060043,-118.284666,Los Molcajetes,Food & Beverage,"Salvadoran staples, including filled tortillas called pupusas, are the focus of this simple eatery.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c77656d767f3:0x4851684214de7758?authuser=-1&hl=en&gl=us,1087,2.0,Food & Beverage,California,Los Angeles,['Salvadoran restaurant' 'Latin American restaurant' 'Restaurant']
0x808f0880ad2b50bf:0x85d50105aa261f9b,"San Gregorio State Beach, 20063 Cabrillo Hwy S, Half Moon Bay, CA 94019",4.6,37.323367399999995,-122.40197069999999,San Gregorio State Beach,Nature & Outdoor,"Sheltered by soaring cliffs, this coastal park has a wide sandy beach & a driftwood-strewn estuary.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f0880ad2b50bf:0x85d50105aa261f9b?authuser=-1&hl=en&gl=us,1457,,Nature & Outdoor,California,other,['State park' 'Tourist attraction']
0x80859a8cfb7b471d:0x88f952b24c902d41,"Town Center Corte Madera, 100 Corte Madera Town Center, Corte Madera, CA 94925",4.3,37.9276237,-122.5170799,Town Center Corte Madera,Retail,Stylish shopping plaza with specialty retailers & services plus restaurants with outdoor seating.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80859a8cfb7b471d:0x88f952b24c902d41?authuser=-1&hl=en&gl=us,1221,,Retail,California,Madera,['Shopping mall']
0x808de4018ac6bd57:0xe92118193f73d431,"Fish Hopper, 700 Cannery Row, Monterey, CA 93940",4.2,36.6164341,-121.8999236,Fish Hopper,Food & Beverage,Bustling eatery serving classic Seafood staples in a dining room with beautiful sea views.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de4018ac6bd57:0xe92118193f73d431?authuser=-1&hl=en&gl=us,2013,2.0,Food & Beverage,California,Monterey,['Restaurant']
0x80c327e5e78d4a51:0xaf37f121a1cae8d4,"McDonald's, 219 S Azusa Ave, Azusa, CA 91702",3.9,34.1191171,-117.9081655,McDonald's,Food & Beverage,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c327e5e78d4a51:0xaf37f121a1cae8d4?authuser=-1&hl=en&gl=us,1365,1.0,Food & Beverage,California,other,['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop']
0x80c2c70e4f2aeea9:0x78b829265bdd6773,"McDonald's, 405 N Alvarado St, Los Angeles, CA 90026",3.8,34.0705722,-118.2682112,McDonald's,Food & Beverage,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",Open ⋅ Closes 2AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c70e4f2aeea9:0x78b829265bdd6773?authuser=-1&hl=en&gl=us,1586,1.0,Food & Beverage,California,Los Angeles,['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop']
0x80dd2a1c4ca184ff:0xe31f14f5b0d07cfe,"Food 4 Less, 914 W Orangethorpe Ave, Fullerton, CA 92832",4.2,33.8577487,-117.94055619999999,Food 4 Less,Retail,"No-frills supermarket chain stocking a wide selection of bulk grocery items, produce & more.",Closed ⋅ Opens 7AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2a1c4ca184ff:0xe31f14f5b0d07cfe?authuser=-1&hl=en&gl=us,1154,1.0,Retail,California,Fullerton,['Grocery store' 'Propane supplier']
0x80c2c64bf2828b05:0x955a9f0a8f53103b,"Bradbury Building, 304 S Broadway, Los Angeles, CA 90013",4.5,34.050604,-118.24785729999999,Bradbury Building,Other,Unique structure featuring a Victorian center court with wrought-iron stairs & birdcage elevators.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c64bf2828b05:0x955a9f0a8f53103b?authuser=-1&hl=en&gl=us,1594,,Other,California,Los Angeles,['Historical landmark' 'Tourist attraction']
0x8094609e1449c0eb:0x9098388218a1b9d,"Chukchansi Park, 1800 Tulare St, Fresno, CA 93721",4.6,36.732101,-119.79019579999999,Chukchansi Park,Other,Outdoor stadium that hosts the Triple-A baseball team the Fresno Grizzlies.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8094609e1449c0eb:0x9098388218a1b9d?authuser=-1&hl=en&gl=us,1758,,Other,California,Fresno,['Stadium']
0x80c365dabeffe935:0x1e858a6590bc6588,"Taco Bell, 15357 Palmdale Rd, Victorville, CA 92392",3.9,34.5067425,-117.3277894,Taco Bell,Food & Beverage,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c365dabeffe935:0x1e858a6590bc6588?authuser=-1&hl=en&gl=us,1153,1.0,Food & Beverage,California,Bell,['Fast food restaurant' 'Breakfast restaurant' 'Burrito restaurant']
0x80c2d6cf66c43e7d:0x417f7589d92298d6,"Fry's Electronics, 13401 Crossroads Pkwy N, City of Industry, CA 91746",4.0,34.0303547,-118.00706939999999,Fry's Electronics,"Service, Retail, Corporate & Office","Chain retailer known for its vast array of computer hardware & accessories, plus home appliances.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2d6cf66c43e7d:0x417f7589d92298d6?authuser=-1&hl=en&gl=us,6740,,Retail,California,other,['Electronics store' 'Appliance store' 'Camera store']
0x80857352c7d40a9b:0x2c07c25c8f05963b,"Bud's Giant Burgers, 3849 Sonoma Blvd, Vallejo, CA 94589",4.5,38.1263973,-122.25586639999999,Bud's Giant Burgers,Food & Beverage,"Burgers & other American fast-food staples are served at this established, old-fashioned eatery.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80857352c7d40a9b:0x2c07c25c8f05963b?authuser=-1&hl=en&gl=us,1418,1.0,Food & Beverage,California,Sonoma,['Hamburger restaurant' 'Restaurant']
0x809adbdc7d2fe0db:0x3c66b37c62ce1155,"Sam's Hof Brau, 2500 Watt Ave, Sacramento, CA 95821",4.4,38.611236999999996,-121.382037,Sam's Hof Brau,Food & Beverage,"Opened in 1959, this eatery specializes in house-roasted meats, served in a European-style setting.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809adbdc7d2fe0db:0x3c66b37c62ce1155?authuser=-1&hl=en&gl=us,1790,1.0,Food & Beverage,California,Sacramento,['German restaurant' 'Bar' 'Caterer']
0x80c336d67f95aa9d:0x758efb041580dacc,"Colonies Crossroads, 1931 N Campus Ave, Upland, CA 91784, United States",4.4,34.1329494,-117.64054159999999,Colonies Crossroads,Retail,,Closed ⋅ Opens 8AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c336d67f95aa9d:0x758efb041580dacc?authuser=-1&hl=en&gl,1925,,Retail,California,Upland,['Shopping mall']
0x80c34b3c91b0a933:0x741516140832bc17,"Farmer Boys, 14522 Slover Ave, Fontana, CA 92337",4.1,34.0633173,-117.48824719999999,Farmer Boys,Food & Beverage,"Counter-serve chain for made-to-order burgers & breakfast items, many made with local ingredients.",Open ⋅ Closes 10PM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c34b3c91b0a933:0x741516140832bc17?authuser=-1&hl=en&gl=us,1211,2.0,Food & Beverage,California,other,['Restaurant' 'American restaurant' 'Breakfast restaurant']
0x80855654ae800e21:0xa79a6b9514f3a5f,"Mac's Old House, 3100 E 18th St, Antioch, CA 94509",4.6,38.0046807,-121.761759,Mac's Old House,Food & Beverage,"Old-school, cash-only roadhouse with traditional, family-style American meals & classic cocktails.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80855654ae800e21:0xa79a6b9514f3a5f?authuser=-1&hl=en&gl=us,1244,1.0,Food & Beverage,California,Antioch,['Steak house' 'Bar' 'Cocktail bar']
0x80dd2ec376db2969:0x89783f6fd27a2e76,"Red Robin Gourmet Burgers and Brews, 5461 Katella Ave, Cypress, CA 90630",4.3,33.8033956,-118.03750009999999,Red Robin Gourmet Burgers and Brews,Food & Beverage,Chain for gourmet burgers & other American comfort fare.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd2ec376db2969:0x89783f6fd27a2e76?authuser=-1&hl=en&gl=us,1088,2.0,Food & Beverage,California,Cypress,['Restaurant' 'American restaurant' 'Hamburger restaurant']
0x80dc9d8a65e6e025:0x62f3460a97bfb0c3,"Texas Roadhouse, 29860 Haun Rd, Menifee, CA 92586",4.6,33.686133999999996,-117.17411,Texas Roadhouse,Food & Beverage,Lively chain steakhouse serving American fare with a Southwestern spin amid Texas-themed decor.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc9d8a65e6e025:0x62f3460a97bfb0c3?authuser=-1&hl=en&gl=us,4533,2.0,Food & Beverage,California,Menifee,['Steak house' 'American restaurant' 'New American restaurant']
0x809aa00a92b1c2d5:0x96dc939d19ce3083,"McDonald's, 841 E Kettleman Ln, Lodi, CA 95240",3.4,38.116717,-121.257015,McDonald's,Food & Beverage,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809aa00a92b1c2d5:0x96dc939d19ce3083?authuser=-1&hl=en&gl=us,1418,1.0,Food & Beverage,California,Lodi,['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop']
0x80c2b3eb1d814fed:0x6073445ba800f602,"Manhattan Beach Pier, 2 Manhattan Beach Blvd, Manhattan Beach, CA 90266",4.7,33.8843096,-118.4119731,Manhattan Beach Pier,Nature & Outdoor,This restored 928-ft. concrete pier is the oldest on the West Coast & features a cafe & an aquarium.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b3eb1d814fed:0x6073445ba800f602?authuser=-1&hl=en&gl=us,7828,,Nature & Outdoor,California,other,['Pier' 'Public beach' 'Tourist attraction']
0x80c3601f08875f01:0xbf44479b4310dd5d,"AMC CLASSIC Apple Valley 14, 22311 Bear Valley Rd bldg a, Apple Valley, CA 92308",4.3,34.4710118,-117.1764386,AMC CLASSIC Apple Valley 14,Other,,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c3601f08875f01:0xbf44479b4310dd5d?authuser=-1&hl=en&gl=us,1363,,Other,California,other,['Movie theater']
0x80c2c36679a4c0d9:0x8f2315ad6bd3f92d,"Hilton Pasadena, 168 S Los Robles Ave, Pasadena, CA 91101",4.3,34.1427889,-118.14067709999999,Hilton Pasadena,Other,"Contemporary hotel with an outdoor pool, fitness center, eatery & free area shuttle.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c36679a4c0d9:0x8f2315ad6bd3f92d?authuser=-1&hl=en&gl=us,1698,,Other,California,other,['Hotel']
0x80c2b92e82c52f33:0xd5cede623445c795,"Pan Pacific Park, 7600 Beverly Blvd, Los Angeles, CA 90036",4.6,34.0755848,-118.3547325,Pan Pacific Park,Nature & Outdoor,"Park next to the Grove includes baseball fields, basketball courts, a library & holocaust memorial.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b92e82c52f33:0xd5cede623445c795?authuser=-1&hl=en&gl=us,1158,,Nature & Outdoor,California,Los Angeles,['Park' 'Recreation center']
0x80d954ae7a61b243:0x482ed7a96b2e5fdc,"Queenstown Public House, 1557 Columbia St, San Diego, CA 92101",4.6,32.7217694,-117.1671811,Queenstown Public House,Food & Beverage,Whimsical New Zealand-themed pub serving upscale bar fare & a large selection of draft beers.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80d954ae7a61b243:0x482ed7a96b2e5fdc?authuser=-1&hl=en&gl=us,1558,2.0,Food & Beverage,California,San Diego,['New Zealand restaurant' 'Bar' 'Brunch restaurant']
0x809ad9885b28cd59:0xea3a26b298c55920,"Beto's Tacos, 2234 El Camino Ave, Sacramento, CA 95821",4.1,38.6104917,-121.41335559999999,Beto's Tacos,Food & Beverage,,Open 24 hours,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ad9885b28cd59:0xea3a26b298c55920?authuser=-1&hl=en&gl=us,1318,1.0,Food & Beverage,California,Sacramento,['Mexican restaurant' 'Fast food restaurant']
0x809051b4ab8f4ff1:0x3de95744c4a3a954,"Texas Roadhouse, 3037 Sisk Rd, Modesto, CA 95350",4.5,37.683516999999995,-121.05018,Texas Roadhouse,Food & Beverage,Lively chain steakhouse serving American fare with a Southwestern spin amid Texas-themed decor.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809051b4ab8f4ff1:0x3de95744c4a3a954?authuser=-1&hl=en&gl=us,3707,2.0,Food & Beverage,California,Modesto,['Steak house' 'American restaurant' 'New American restaurant']
0x809b2017eb8feccf:0x5f95d1f072a8746d,"Popeyes Louisiana Kitchen, 1100 Douglas Blvd, Roseville, CA 95678",3.4,38.743807499999996,-121.2752252,Popeyes Louisiana Kitchen,Food & Beverage,"Louisiana-accented fast-food chain known for its spicy fried chicken, biscuits & sides.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809b2017eb8feccf:0x5f95d1f072a8746d?authuser=-1&hl=en&gl=us,1178,1.0,Food & Beverage,California,Roseville,['Chicken restaurant' 'Cajun restaurant' 'Fast food restaurant']
0x80c2ccd0362a5875:0xd2e9cfc96e01ed04,"McDonald's, 7357 Alondra Blvd, Paramount, CA 90723",3.7,33.889438999999996,-118.1692752,McDonald's,Food & Beverage,"Classic, long-running fast-food chain known for its burgers, fries & shakes.",Closed ⋅ Opens 5AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2ccd0362a5875:0xd2e9cfc96e01ed04?authuser=-1&hl=en&gl,1470,1.0,Food & Beverage,California,other,['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop']
0x80c2b0795709cffb:0xd57613ea9671ab8c,"Whiskey Red's Restaurant & Events, 13813 Fiji Way, Marina Del Rey, CA 90292",4.0,33.971284499999996,-118.4461449,Whiskey Red's Restaurant & Events,Food & Beverage,"Seafood specialist with raw & grilled fare, a whiskey-focused cocktail menu & patio with bay views.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b0795709cffb:0xd57613ea9671ab8c?authuser=-1&hl=en&gl=us,1198,2.0,Food & Beverage,California,Marina,['Restaurant' 'Bar & grill' 'Seafood restaurant']
0x80c2c36f110f1bbf:0x9ffcfaa23ec70476,"ArcLight Cinemas, 300 E Colorado Blvd, Pasadena, CA 91101",4.4,34.145177499999996,-118.1434803,ArcLight Cinemas,Food & Beverage,Cinema chain showing first-run movies & offering reserved seating & on-site cafe/bars.,N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c36f110f1bbf:0x9ffcfaa23ec70476?authuser=-1&hl=en&gl=us,1956,,Food & Beverage,California,other,['Movie theater' 'American restaurant' 'Bar']
0x80dd315bdfb9579f:0x6c633a6ee634568,"Best Western of Long Beach, 1725 Long Beach Blvd, Long Beach, CA 90813",3.9,33.7887392,-118.18994749999999,Best Western of Long Beach,Other,"Straightforward hotel with free Wi-Fi, breakfast & parking, plus an outdoor pool & fitness room.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd315bdfb9579f:0x6c633a6ee634568?authuser=-1&hl=en&gl=us,1096,,Other,California,Long Beach,['Hotel']
0x808fa2159f5f4cd1:0x398b3a1d4d9638f2,"Best Buy, 1127 Industrial Rd, San Carlos, CA 94070, United States",4.2,37.502394699999996,-122.2441346,Best Buy,Retail,"Chain retailer with a large array of brand-name electronics, computers, appliances & more.",Closed ⋅ Opens 10AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fa2159f5f4cd1:0x398b3a1d4d9638f2?authuser=-1&hl=en&gl=kr,2147,2.0,Retail,California,other,['Electronics store' 'Appliance store' 'Computer store']
0x809ade9e966b4d0d:0xcbff7aaa76e2031e,"Safeway, 4040 Manzanita Ave, Carmichael, CA 95608",4.1,38.6381291,-121.32634279999999,Safeway,"Service, Retail","Longtime supermarket chain carrying brand-name & house-label groceries, plus a deli, bakery & more.",Open ⋅ Closes 12AM,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809ade9e966b4d0d:0xcbff7aaa76e2031e?authuser=-1&hl=en&gl=us,1548,2.0,Retail,California,Carmichael,['Grocery store' 'Grocery delivery service']
0x80dc0cdbfeb1f823:0x85fe15cc0176773f,"San Elijo State Beach, 2050 S Coast Hwy 101, Cardiff, CA 92007",4.6,33.021498699999995,-117.28426019999999,San Elijo State Beach,Nature & Outdoor,"2-mile stretch of sand with large campgrounds popular for swimming, surfing, snorkeling & picnics.",N/A,"https://www.google.com/maps/place/2050+S+Coast+Hwy+101,+Cardiff,+CA+92007/data=!4m2!3m1!1s0x80dc0cdbfeb1f823:0x85fe15cc0176773f?authuser=-1&hl=en&gl=us",1439,,Nature & Outdoor,California,other,['Beach']
0x80c2c64a3df73d39:0x55acd712d3a6fe7,"KazuNori: The Original Hand Roll Bar, 421 S Main St, Los Angeles, CA 90013",4.6,34.0477924,-118.2477471,KazuNori: The Original Hand Roll Bar,Food & Beverage,"Functional, masculine setting for Japanese temaki (hand rolls) from a beloved sushi restaurateur.",N/A,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c64a3df73d39:0x55acd712d3a6fe7?authuser=-1&hl=en&gl=us,1198,2.0,Food & Beverage,California,Los Angeles,['Sushi restaurant' 'Japanese restaurant']
